Date,Price,Open,High,Low,Volume,Change %,Vol.
1/30/2024,0.005028,0.00458,0.005049,0.004308,452540000,9.79%,452.54M
1/31/2024,0.00458,0.004222,0.004832,0.004212,403360000,8.49%,403.36M
2/1/2024,0.004222,0.004418,0.004799,0.003922,623930000,-4.48%,623.93M
2/2/2024,0.00442,0.003547,0.004437,0.003048,908750000,24.60%,908.75M
2/3/2024,0.003547,0.004413,0.004491,0.003465,628560000,-19.58%,628.56M
2/4/2024,0.00441,0.00515,0.005309,0.004253,493870000,-14.37%,493.87M
2/5/2024,0.00515,0.004527,0.00578,0.004211,528220000,12.79%,528.22M
2/6/2024,0.004566,0.005126,0.005127,0.003531,680940000,-10.93%,680.94M
2/7/2024,0.005126,0.006006,0.00611,0.004932,497900000,-14.65%,497.90M
2/8/2024,0.006006,0.006136,0.006237,0.005805,373840000,-2.11%,373.84M
2/9/2024,0.006136,0.007016,0.007039,0.006071,350670000,-11.62%,350.67M
2/10/2024,0.006942,0.00761,0.00765,0.006866,396770000,-8.78%,396.77M
2/11/2024,0.00761,0.007383,0.00814,0.00735,371690000,3.07%,371.69M
2/12/2024,0.007383,0.007154,0.007499,0.007072,433720000,2.99%,433.72M
2/13/2024,0.007169,0.007484,0.008294,0.006608,487910000,-4.29%,487.91M
2/14/2024,0.00749,0.00706,0.007696,0.00685,551980000,6.09%,551.98M
2/15/2024,0.00706,0.006558,0.0072,0.006382,558020000,6.89%,558.02M
2/16/2024,0.006605,0.006644,0.006995,0.006082,600760000,-0.68%,600.76M
2/17/2024,0.00665,0.006982,0.007601,0.006169,599130000,-4.66%,599.13M
2/18/2024,0.006975,0.008359,0.008385,0.006794,537240000,-16.56%,537.24M
2/19/2024,0.008359,0.007779,0.008654,0.0076,490140000,7.35%,490.14M
2/20/2024,0.007787,0.007532,0.008466,0.007231,507540000,3.41%,507.54M
2/21/2024,0.00753,0.007623,0.009238,0.007052,610960000,-1.18%,610.96M
2/22/2024,0.00762,0.006562,0.007879,0.005416,621350000,16.09%,621.35M
2/23/2024,0.006564,0.009701,0.009757,0.005551,681080000,-32.48%,681.08M
2/24/2024,0.009721,0.011243,0.0114,0.009679,412590000,-13.45%,412.59M
2/25/2024,0.011232,0.012263,0.012345,0.01056,433410000,-8.38%,433.41M
2/26/2024,0.012259,0.012561,0.013295,0.012021,415580000,-2.44%,415.58M
2/27/2024,0.012566,0.011188,0.013158,0.010708,405010000,12.31%,405.01M
2/28/2024,0.011189,0.012868,0.01422,0.0101,520260000,-12.85%,520.26M
2/29/2024,0.012839,0.013104,0.0136,0.010701,409950000,-1.99%,409.95M
3/1/2024,0.0131,0.014773,0.015441,0.012394,503010000,-15.05%,503.01M
3/2/2024,0.01542,0.017,0.018,0.01542,175970000,-9.29%,175.97M
3/3/2024,0.017,0.01463,0.019,0.014,612390000,16.20%,612.39M
3/4/2024,0.01463,0.01255,0.0175,0.01201,612550000,16.57%,612.55M
3/5/2024,0.01255,0.009613,0.01395,0.009434,672260000,30.55%,672.26M
3/6/2024,0.009613,0.009205,0.0103,0.008559,634480000,4.43%,634.48M
3/7/2024,0.009205,0.009,0.009345,0.00834,724340000,2.28%,724.34M
3/8/2024,0.009,0.008678,0.009878,0.008316,721150000,3.71%,721.15M
3/9/2024,0.008678,0.008927,0.00899,0.00796,575220000,-2.79%,575.22M
3/10/2024,0.008927,0.007672,0.0091,0.0075,597410000,16.36%,597.41M
3/11/2024,0.007672,0.009228,0.0094,0.00699,558770000,-16.86%,558.77M
3/12/2024,0.009228,0.008244,0.00945,0.007577,637880000,11.94%,637.88M
3/13/2024,0.008244,0.008861,0.008869,0.007221,543300000,-6.96%,543.30M
3/14/2024,0.008861,0.009332,0.0096,0.00809,505320000,-5.05%,505.32M
3/15/2024,0.009332,0.008648,0.009686,0.008,608890000,7.91%,608.89M
3/16/2024,0.008648,0.008356,0.01102,0.008124,713900000,3.49%,713.90M
3/17/2024,0.008356,0.006949,0.008581,0.0055,850850000,20.25%,850.85M
3/18/2024,0.006949,0.006071,0.00787,0.005682,750240000,14.46%,750.24M
3/19/2024,0.006071,0.007497,0.007621,0.00427,952230000,-19.02%,952.23M
3/20/2024,0.007497,0.006392,0.008767,0.006107,819430000,17.29%,819.43M
3/21/2024,0.006392,0.005409,0.007,0.004529,1030000000,18.17%,1.03B
3/22/2024,0.005409,0.00627,0.0067,0.005222,907960000,-13.73%,907.96M
3/23/2024,0.00627,0.005841,0.007,0.005582,802770000,7.34%,802.77M
3/24/2024,0.005841,0.005634,0.007804,0.005306,908220000,3.67%,908.22M
3/25/2024,0.005634,0.003659,0.0068,0.00361,1270000000,53.98%,1.27B
3/26/2024,0.003659,0.003591,0.00375,0.003417,1260000000,1.89%,1.26B
3/27/2024,0.003591,0.003382,0.0039,0.003301,1180000000,6.18%,1.18B
3/28/2024,0.003382,0.003126,0.0039,0.00301,1520000000,8.19%,1.52B
3/29/2024,0.003126,0.002646,0.003434,0.00258,1560000000,18.14%,1.56B
3/30/2024,0.002646,0.002519,0.0028,0.002377,1460000000,5.04%,1.46B
3/31/2024,0.002519,0.002564,0.002686,0.0022,1690000000,-1.76%,1.69B
4/1/2024,0.002564,0.002692,0.00273,0.00222,1640000000,-4.75%,1.64B
4/2/2024,0.002692,0.002666,0.00286,0.002303,1780000000,0.98%,1.78B
4/3/2024,0.002666,0.002586,0.002778,0.00238,1790000000,3.09%,1.79B
4/4/2024,0.002586,0.002467,0.0026,0.002202,1810000000,4.82%,1.81B
4/5/2024,0.002467,0.002439,0.00265,0.002394,1630000000,1.15%,1.63B
4/6/2024,0.002439,0.002186,0.00245,0.002131,1750000000,11.57%,1.75B
4/7/2024,0.002186,0.002073,0.002339,0.001977,2280000000,5.45%,2.28B
4/8/2024,0.002073,0.002127,0.002173,0.002041,1580000000,-2.54%,1.58B
4/9/2024,0.002127,0.002053,0.00224,0.001971,1990000000,3.60%,1.99B
4/10/2024,0.002053,0.002043,0.002409,0.001835,1800000000,0.49%,1.80B
4/11/2024,0.002043,0.00236,0.0027,0.001909,2360000000,-13.43%,2.36B
4/12/2024,0.00236,0.001965,0.00236,0.001925,2250000000,20.10%,2.25B
4/13/2024,0.001965,0.001957,0.002028,0.001851,2380000000,0.41%,2.38B
4/14/2024,0.001957,0.002074,0.002148,0.001846,1350000000,-5.64%,1.35B
4/15/2024,0.002074,0.001903,0.002079,0.00177,1470000000,8.99%,1.47B
4/16/2024,0.001903,0.001905,0.002,0.001731,1550000000,-0.10%,1.55B
4/17/2024,0.001905,0.001837,0.002451,0.001642,1520000000,3.70%,1.52B
4/18/2024,0.001837,0.001376,0.002082,0.001356,2440000000,33.50%,2.44B
4/19/2024,0.001376,0.001373,0.001494,0.00128,2410000000,0.22%,2.41B
4/20/2024,0.001373,0.001362,0.0014,0.001283,1310000000,0.81%,1.31B
4/21/2024,0.001362,0.00132,0.001362,0.001302,14910000,3.18%,14.91M
4/22/2024,0.00132,0.001298,0.001332,0.001255,1350000000,1.69%,1.35B
4/23/2024,0.001298,0.001353,0.001368,0.001208,2050000000,-4.07%,2.05B
4/24/2024,0.001353,0.001295,0.001392,0.001266,2000000000,4.48%,2.00B
4/25/2024,0.001295,0.001171,0.001326,0.00117,2060000000,10.59%,2.06B
4/26/2024,0.001171,0.001162,0.0012,0.001129,2790000000,0.77%,2.79B
4/27/2024,0.001162,0.00106,0.0012,0.001048,1970000000,9.62%,1.97B
4/28/2024,0.00106,0.001172,0.001172,0.001023,1710000000,-9.56%,1.71B
4/29/2024,0.001172,0.001158,0.00123,0.001125,1140000000,1.21%,1.14B
4/30/2024,0.001158,0.001392,0.0014,0.00113,748050000,-16.81%,748.05M
5/1/2024,0.001392,0.001191,0.0014,0.001173,2500000000,16.88%,2.50B
5/2/2024,0.001191,0.001169,0.001239,0.001132,2520000000,1.88%,2.52B
5/3/2024,0.001169,0.001143,0.00119,0.001136,1240000000,2.27%,1.24B
5/4/2024,0.001143,0.001169,0.00121,0.001092,1380000000,-2.22%,1.38B
5/5/2024,0.001169,0.001179,0.001225,0.001151,1290000000,-0.85%,1.29B
5/6/2024,0.001179,0.001133,0.001194,0.001107,1370000000,4.06%,1.37B
5/7/2024,0.001133,0.00112,0.001158,0.001091,1410000000,1.16%,1.41B
5/8/2024,0.00112,0.001125,0.00116,0.001045,1530000000,-0.44%,1.53B
5/9/2024,0.001125,0.001147,0.00118,0.00109,1170000000,-1.92%,1.17B
5/10/2024,0.001147,0.00116,0.001178,0.001066,1340000000,-1.12%,1.34B
5/11/2024,0.00116,0.001181,0.001182,0.0011,535280000,-1.78%,535.28M
5/12/2024,0.001181,0.001014,0.001182,0.001,402910000,16.47%,402.91M
5/13/2024,0.001014,0.001042,0.001048,0.000991,295110000,-2.69%,295.11M
5/14/2024,0.001042,0.00106,0.00107,0.00102,998250000,-1.70%,998.25M
5/15/2024,0.00106,0.001079,0.001083,0.001019,494950000,-1.76%,494.95M
5/16/2024,0.001079,0.00106,0.0011,0.001001,359240000,1.79%,359.24M
5/17/2024,0.00106,0.00101,0.001117,0.00095,957840000,4.95%,957.84M
